Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl
CRO,CRO1,2022,Spring,11.5,7.57,8.6,51,35,12.8,17.5,0.24,0.01,0.005,0.08,0.005,1.14,1.83,9.57,0,15.6,1.95,1.96,1.14,3.77,0.52,2.99,0.5,0.08,0.04,0.285,1.09,0.02,0.18,0.3,19.5,0.001,0.075,24.43,0.001,0.02,0.005,0.01,18.97,0.002,0.02
CRO,CRO2,2022,Spring,11.3,7.65,8.8,54,38,13.2,17.2,0.18,0.03,0.005,0.08,0.005,1.12,1.87,9.56,0,16.15,1.91,1.91,1.11,3.76,0.49,2.71,0.41,0.06,0.02,0.285,0.79,0.02,0.16,0.25,6.94,0.001,0.075,24.22,0.001,0.01,0.005,0.01,19.05,0.002,0.02
CRO,CRO3,2022,Spring,10.8,7.51,8.9,55,38,13.5,17.5,0.23,0.03,0.03,0.09,0.005,1.1,1.92,9.48,0,16.46,1.92,1.93,1.1,3.82,0.5,3.1,0.35,0.05,0.02,0.285,1.09,0.02,0.17,0.27,6.73,0.001,0.075,25.05,0.001,0.01,0.005,0.01,19.67,0.002,0.01
CRO,CRO4,2022,Spring,11,7.54,9.8,55,39,13.4,17.9,0.19,0.01,0.03,0.09,0.005,1.01,2.22,9.14,0,16.31,1.96,1.95,1.06,3.95,0.45,3.63,0.33,0.06,0.03,2.84,2.67,0.03,0.16,0.23,5.5,0.001,0.075,24.8,0.001,0.01,0.005,0.01,18.58,0.002,0.01
CRO,CRO5,2022,Spring,10.7,7.26,10.2,53,38,18,20.8,0.27,0.02,0.03,0.07,0.005,1.18,1.03,9.17,0,21.9,1.84,2.12,1.03,4.85,0.55,3.96,0.38,0.06,0.03,23.59,11.38,0.06,0.21,0.26,17.01,0.001,0.075,26.52,0.001,0.001,0.005,0.01,21.85,0.002,0.01
CRO,CRO6,2022,Spring,9.9,7.15,10.4,50,36,12.5,15.6,0.65,0.02,0.04,0.11,0.005,1.21,1.3,9.29,0,15.3,1.88,1.73,1.05,3.4,0.45,4.29,0.32,0.04,0.04,41.04,15.28,0.07,0.26,0.54,15.56,0.001,0.075,21.28,0.001,0.001,0.005,0.01,18.06,0.002,0.01
CRO,CRO7,2022,Spring,10,7.09,9.8,43,30,15.7,12.2,0.39,0.01,0.04,0.23,0.005,0.79,0.94,8.82,0,19.12,1.59,1.45,0.92,2.51,0.24,4.07,0.37,0.03,0.05,6.78,2.9,0.03,0.13,0.12,24.25,0.001,0.075,16.97,0.001,0.001,0.005,0.01,14.4,0.002,0.01
CRO,CROT1,2022,Spring,11.3,7.46,9.2,50,35,12.1,15.7,0.23,0.02,0.05,0.11,0.005,1.01,0.73,9.98,0,14.73,1.62,1.79,1.15,3.33,0.43,2.82,0.19,0.03,0.01,0.285,0.69,0.02,0.11,0.18,7.76,0.001,0.075,20.32,0.001,0.001,0.005,0.01,18.22,0.002,0.01
CRO,CROT2,2022,Spring,11,7.22,10.2,53,38,16.2,,0.47,0.01,0.06,0.11,0.005,1.12,4.12,9.07,0,19.76,,,,,,,,,,,,,,,,,,,,,,,,,
CRO,CROT3,2022,Spring,9.4,7.16,9.8,55,39,15.9,18.2,0.18,0.03,0.04,0.04,0.005,1.63,1.01,9.15,0,19.43,1.76,1.96,1.08,4.07,0.56,4.3,0.28,0.03,0.04,26.36,13.88,0.05,0.19,0.43,75.72,0.001,0.075,23.22,0.001,0.001,0.005,0.01,20.53,0.002,0.01
CRO,CROT4,2022,Spring,10.6,7.68,7.8,71,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRO,CROT5,2022,Spring,10.6,7.37,10.8,105,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CRO,CROT6,2022,Spring,9.4,6.96,9.5,43,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
