Stream,Site,pfines,ppebbles,psmallcobble,plargecobble,LCF,avgwetwidth,avgdepth,avgembedd,avgcancov,avg.slope,D.pca,Rip.pca,Season,do.mgl,temp.C,sc.uScm,hardness.mgl,npoc.mgl,nutrients.pca,elements.pca,PCNM4,PCNM2,PCNM1,PCNM5
LLW (H),LLW6,2.941176471,49.01960784,24.50980392,23.52941176,8,1.333333333,4.026666667,11.33333333,87.71666667,16,1.584858892,1.021894257,Fall,8.6,15.6,1880,1395,1.42,-1.169635831,8.740216466,,,,
ROL (H),ROL1,2.631578947,51.31578947,22.36842105,23.68421053,9,2.533333333,5.74,17,84.35,11.5,0.212896981,-0.548162454,Fall,9.5,11.9,501,216.1,1.2,-0.989034538,-0.822661212,,,,
ROL (H),ROL2,2.298850575,59.77011494,17.24137931,20.68965517,9,3.266666667,4.393333333,16.33333333,86.35333333,3,-0.931275217,-0.694159767,Fall,7.6,12.8,633,301.1,0.02,0.340526271,0.370170278,,,,
ROL (H),ROL3,2.380952381,51.19047619,28.57142857,17.85714286,7.5,1.716666667,5.746666667,16.66666667,89.03,3.5,0.065701363,-1.257626886,Fall,7.1,13.5,804,400,1.6,-0.394305667,0.624708878,,,,
ROL (H),ROL4,5.681818182,56.81818182,20.45454545,17.04545455,3,1.5,3.146666667,15,79.55,6.5,-1.741221806,-1.177397122,Fall,7.4,13.3,886,493.9,1.44,-0.193036625,1.366297708,,,,
ROL (H),ROL5,9.523809524,60.71428571,9.523809524,20.23809524,2.125,0.693333333,2.026666667,12.33333333,68.37666667,6.33,-1.519338868,-0.548162454,Fall,7.8,14.1,1029,551.2,1.28,-0.081986293,1.600519886,,,,
ROL (H),ROL6,6.153846154,60,15.38461538,18.46153846,3,0.866666667,1.446666667,10,78.33333333,10.25,-1.160143974,-1.041660875,Fall,6.4,13.7,1298,788.7,1.49,1.634503183,3.460651345,,,,
SPC (L),SPC1,11.82795699,34.40860215,24.7311828,29.03225806,2.454545455,2.333333333,6.76,10.66666667,76.47666667,3.5,2.122330316,1.177941131,Fall,9.5,12.5,501,165.6,1.25,4.910104563,-0.924644222,,,,
SPC (L),SPC2,10.98901099,36.26373626,23.07692308,29.67032967,2.7,3.95,5.12,11,74.68666667,3,0.997589036,1.6727373,Fall,8.8,12.6,516,185.4,1.28,3.555139554,-0.325945845,,,,
SPC (L),SPC3,10.57692308,38.46153846,30.76923077,20.19230769,1.909090909,3.683333333,3.706666667,13.66666667,90.99,1.25,0.055721126,1.403055923,Fall,9.1,12.9,535,232.5,1.33,-1.625118776,-0.160663201,,,,
SPC (L),SPC4,11.30434783,41.73913043,16.52173913,30.43478261,2.692307692,2.633333333,3.486666667,12.66666667,71.48666667,1.75,1.385865829,2.147026407,Fall,9.1,14.2,579,248.6,1.35,-0.62316428,0.740433779,,,,
SPC (L),SPC5,4.87804878,40.6504065,26.82926829,27.64227642,5.666666667,2.1,4.966666667,16.66666667,85.58333333,2.25,2.33345928,-0.922271752,Fall,9.3,15.4,610,276.3,1.33,-1.384906214,0.718013079,,,,
SPC (L),SPC7,6.666666667,38.0952381,24.76190476,30.47619048,4.571428571,1.716666667,4.546666667,11.66666667,88.56333333,4.25,3.087924424,1.021528823,Fall,7.5,16,709,298.5,1.47,-1.069016315,1.170162382,,,,
SPC (L),SPC8,11.42857143,48.57142857,15.23809524,24.76190476,2.166666667,1.65,2.566666667,10.33333333,82.18,2.25,-1.101817651,1.680062975,Fall,6.9,15.5,756,317.8,1.5,-0.015371639,2.41003506,,,,
,,7.03125,69.53125,21.09375,2.34375,0.333333333,2,2.38,12.33333333,89.09,0.5,-1.328601608,0.542970453,,,,,,,,,,,,
