Stream,Site,sample.year,season,do.mgl,ph,temp.C,sc.uScm,ac.uScm,alkalinity.mgl,hardness.mgl,tn.mgl,tp.mgl,nh3-n.mgl,no2no3-n.mgl,ortho.po4-p.mgl,npoc.mgl,cl.mgl,so4.mgl,co3.mgl,hco3.mgl,na.mgl,mg.mgl,k.mgl,ca.mgl,li.ugl,al.ugl,ti.ugl,v.ugl,cr.ugl,fe.ugl,mn.ugl,co.ugl,ni.ugl,cu.ugl,zn.ugl,as.ugl,se.ugl,sr.ugl,mo.ugl,ag.ugl,cd.ugl,sn.ugl,ba.ugl,pb.ugl,u.ugl,ca.mg,so4.hco3
CRO (R),CRO3,2022,Spring,10.8,7.51,8.9,55,38,13.5,17.5,0.23,0.03,0.03,0.09,0.005,1.1,1.92,9.48,0,16.46,1.92,1.93,1.1,3.82,0.5,3.1,0.35,0.05,0.02,0.285,1.09,0.02,0.17,0.27,6.73,0.001,0.075,25.05,0.001,0.01,0.005,0.01,19.67,0.002,0.01,1.979274611,0.575941677
CRO (R),CRO4,2022,Spring,11,7.54,9.8,55,39,13.4,17.9,0.19,0.01,0.03,0.09,0.005,1.01,2.22,9.14,0,16.31,1.96,1.95,1.06,3.95,0.45,3.63,0.33,0.06,0.03,2.84,2.67,0.03,0.16,0.23,5.5,0.001,0.075,24.8,0.001,0.01,0.005,0.01,18.58,0.002,0.01,2.025641026,0.560392397
CRO (R),CRO5,2022,Spring,10.7,7.26,10.2,53,38,18,20.8,0.27,0.02,0.03,0.07,0.005,1.18,1.03,9.17,0,21.9,1.84,2.12,1.03,4.85,0.55,3.96,0.38,0.06,0.03,23.59,11.38,0.06,0.21,0.26,17.01,0.001,0.075,26.52,0.001,0.001,0.005,0.01,21.85,0.002,0.01,2.287735849,0.418721461
CRO (R),CRO6,2022,Spring,9.9,7.15,10.4,50,36,12.5,15.6,0.65,0.02,0.04,0.11,0.005,1.21,1.3,9.29,0,15.3,1.88,1.73,1.05,3.4,0.45,4.29,0.32,0.04,0.04,41.04,15.28,0.07,0.26,0.54,15.56,0.001,0.075,21.28,0.001,0.001,0.005,0.01,18.06,0.002,0.01,1.965317919,0.607189542
CRO (R),CRO7,2022,Spring,10,7.09,9.8,43,30,15.7,12.2,0.39,0.01,0.04,0.23,0.005,0.79,0.94,8.82,0,19.12,1.59,1.45,0.92,2.51,0.24,4.07,0.37,0.03,0.05,6.78,2.9,0.03,0.13,0.12,24.25,0.001,0.075,16.97,0.001,0.001,0.005,0.01,14.4,0.002,0.01,1.731034483,0.461297071
EAS (R),EAS1,2022,Spring,10.9,8.02,9.2,21,14,11.9,7.3,0.25,0.005,0.05,0.13,0.01,0.43,0.29,2.78,0,14.46,0.48,0.46,0.29,2.14,0.13,3.72,0.07,0.01,0.07,0.285,0.32,0.01,0.1,0.025,23.91,0.001,0.075,9.78,0.001,0.001,0.005,0.01,9.85,0.002,0.01,4.652173913,0.192254495
EAS (R),EAS2,2022,Spring,11.1,7.5,9.3,22,15,13.3,8.1,0.27,0.01,0.04,0.17,0.01,0.42,0.39,2.72,0,16.21,0.48,0.47,0.28,2.48,0.15,3.61,0.09,0.02,0.05,0.285,0.27,0.01,0.07,0.025,24.44,0.001,0.075,10.45,0.001,0.01,0.005,0.01,9.55,0.002,0.02,5.276595745,0.167797656
EAS (R),EAS3,2022,Spring,10.6,7.42,9.5,18,13,9.4,6.3,0.27,0.02,0.005,0.17,0.005,0.51,0.3,2.64,0,11.44,0.48,0.44,0.29,1.78,0.15,3.89,0.08,0.01,0.04,0.285,0.3,0.01,0.07,0.025,22.65,0.001,0.075,8.25,0.001,0.001,0.005,0.01,8.86,0.002,0.01,4.045454545,0.230769231
EAS (R),EAS4,2022,Spring,10.7,7.14,9.6,17,12,7.8,5.5,0.35,0.02,0.005,0.2,0.005,0.51,0.26,2.46,0,9.49,0.47,0.41,0.29,1.53,0.14,4.41,0.04,0.005,0.03,0.285,0.34,0.01,0.09,0.025,22.95,0.001,0.075,7.49,0.001,0.001,0.005,0.01,8.86,0.002,0.01,3.731707317,0.259220232
EAS (R),EAS5,2022,Spring,10.7,7.01,9.8,16,11,6.6,5.1,0.33,0.01,0.03,0.19,0.005,0.55,0.26,2.36,0,8.02,0.48,0.39,0.29,1.4,0.16,4.99,0.02,0.005,0.04,0.285,0.47,0.01,0.11,0.025,22.76,0.001,0.075,7.2,0.001,0.001,0.005,0.01,8.84,0.002,0.0005,3.58974359,0.294264339
